hlr_imperial_throne	The Imperial Throne
yem_yemeni_architecture	Yemeni Architecture
yem_uniting_yemeni_tribes	Uniting the Yemeni Tribes
yem_promoting_yemeni_trade_ports	Promoting the Yemeni Trade Ports
yem_foreign_embassies	Foreign Embassies
ras_living_imam	The Living Imam
ras_yemeni_highlands	Yemeni Highlands
coffea_arabica	Coffea Arabica
ras_unite_rassid_state	A Unified Rassid State
ras_mountain_strongholds	Mountain Strongholds
ras_salt_in_water	Like Salt Dissolves in Water
ras_secure_trade_monopolies	Secure the Yemeni Trading Monopolies
msy_fervent_millenarianism	Fervent Millenarianism
msy_messianic_legacy	Messianic Legacy of Muhammad bin Falah
msy_swamp_warfare	Swamp Warfare
msy_arabistan	Arabistan
msy_house_united	A House United
msy_outward_pragmatism	Outward Pragmatism
msy_sufis_shias_middle_east	Sufis and Shias of the Middle East
sis_lake_hamun	Lake Hamun
sis_saffarid_legacy	Saffarid Legacy
sis_subjugation_of_tribes	Subjugation of the Tribes
sis_loyal_service	Loyal Service
sis_overland_trade_routes	Overland Trade Routes
sis_chronicles_of_sistan	Chronicles of Sistan
sis_scholars_of_sistan	Scholars of Sistan
rum_abul_fath	Abul-Fath
rum_king_of_the_east_and_west	Sultan al-Sharq wa al-Gharb
rum_shahanshah	Shahanshah
rum_sultan_of_rum	Sultan of Rûm
rum_sulan_al_bahrayn	Sultan al-Bahrayn
rum_sultan_al_muazzam	al-Sultan al-Muazzam
rum_protector_of_dar_al_islam	Protector of Dar al-Islam
arl_safavid_order	The Safavid Order
arl_qizilbash	The Qizilbash
arl_shiite_leadership	Leader of all Shiites
arl_conversion_of_the_masses	Conversion of the Masses
arl_religious_war	Religious War
arl_amili_mujtahids	Amili Mujtahids
arl_shahs_of_iran	Shahs of Iran
sme_atabegs_of_samtskhe	Atabegs of Samtskhe
sme_proactive_diplomacy	Proactive Diplomacy
sme_fortresses_of_samtskhe	Fortresses of Samtskhe
sme_independent_Ambition	Independent Ambition
sme_protect_trade_routes	Protect the Trade Routes
sme_frontier_warriors	Frontier Warriors
sme_sacred_land	A Sacred Land
srv_khalwati_order	The Khalwati Order
srv_fortresses_of_shirvan	Fortresses of Shirvan
srv_tribesmen_of_the_caucasus	Tribesmen of the Caucasus
srv_persianate_patronage	Persianate Patronage
srv_caspian_trade	Caspian Trade
srv_shirvani_architecture	Shirvani Architecture
srv_merchants_of_baku	Merchants of Baku
alh_desert_warfare	Desert Warfare
alh_lord_of_the_eastern_bedouin	Lord of the Bedouin of the East
alh_pearls_of_the_persian_gulf	Pearls of the Persian Gulf
alh_fortify_the_coastline	Fortify the coastline
alh_entrepot_of_india	Entrepot of India
alh_a_modern_navy	A Modern Navy
alh_legacy_of_rahmah_ibn_jabir	Legacy of Rahmah ibn Jabir
hdr_death_has_come	Death Has Come
hdr_tribes_of_hadramut	Tribes of Hadramut
hdr_hawtas	Hawtas
hdr_encouraging_the_incense_trade	Encouraging the Incense Trade
hdr_sailors_of_the_indian_ocean	Sailors of the Indian Ocean
hdr_hadramhi_diaspora	Hadramhi Diaspora
hdr_distant_diplomacy	Distant Diplomacy
hsn_citadels_and_fortesses	Citadels and Fortresses
hsn_ayyubid_heritage	Ancestral Heritage
hsn_righteousness_of_the_faith	Righteousness of the Faith
hsn_elite_warriors	Elite Warriors
hsn_rise_of_the_eagle	Rise of the Eagle
hsn_strenghten_central_authority	Strengthen Central Authority
hsn_state_economics	State Economics
ktb_unification_of_ise	Unification of Ise
ktb_blessing_of_amaterasu	Blessing of Amaterasu
ktb_southern_court	Supporters of the Emperor
ktb_kuki_suigun	Kuki Suigin
ktb_men_of_quality	Men of Quality
ktb_iga_ryu	Iga-Ryu
ktb_the_march_of_kitabatake_akiee	March of Kitabatake Akiie
oda_rakuichi_rakuza	Rakuichi & Rakuza
oda_tenka_fubu	Tenka Fubu
oda_generals	Oda Generals
oda_azuchi_castle	Influential Strongholds
oda_triple_firing	Triple Firing
oda_patronization_of_the_west	Patronization of the West
oda_kenchi	Kenchi
tkg_mikawa_bushi	Mikawa Bushi
tkg_strengthen_the_sekisho_network	Strengthen the Sekisho Network
tkg_hatamoto	Hatamoto
tkg_metsuke	Metsuke
tkg_matsudaira_branches	Matsudaira Branches
tkg_toshogu	Toshogu
tkg_famine_policies	Famine Policies
mas_hinalliwood	Hinilawod
mas_legacy_of_panai	Legacy of Panai
mas_riches_of_the_visayas	Riches of the Visayas
mas_masters_of_maritime_warfare	Masters of Maritime Warfare
mas_articles_of_the_confederation	Articles of the Confederation
mas_kinaduatan	Kinadatuan
mas_expand_the_shipbuilding_sector	Expand the Shipbuilding Sector
btu_indianized_society	Indianized Society
btu_northern_nusantara	Northern Nusantara
btu_butuan_trade_connections	Butuan Trade Connections
btu_butuan_goldwork	Butuan Goldwork
btu_balangay	Balangay
btu_protect_the_coastlines	Protect the Coastlines
btu_long_range_diplomacy	Long Range Diplomacy
ceb_lumayas_ambition	Lumaya’s Ambition
ceb_chola_legacy	Chola Legacy
ceb_protect_against_the_magalos	Protect against the Magalos
ceb_pacify_the_islands	Pacify the Islands
ceb_place_for_trading	'The Place for Trading'
ceb_befriend_the_europeans	Befriend the Europeans
ceb_expansion_of_the_capital	Expand the Capital
anu_chasi	Chasi
anu_riches_of_the_sea	Riches of the Sea
anu_southern_traders	Southern Traders
anu_heirs_of_jomon	Heirs of Jomon
anu_hunters_and_warriors	Hunters and Warriors
anu_yukar	Yukar
anu_fierce_resistance	Fierce Resistance
hjo_legacy_of_the_kamakura_shogunate	Legacy of the Kamakura Shogunate
hjo_night_combat	Night Combat
hjo_effective_administration	Reform the Administration
hjo_tokusei	Tokusei
hjo_castles_of_hojo	Castles of the Hojo
hjo_unification_of_kanto	Unification of Kanto
hjo_council_in_odawara	Council in Odawara
csk_ichiryo_gusoku	Ichiryo Gusoku
csk_seven_clans_of_tosa	Seven Clans of Tosa
csk_unification_of_shikoku	Unification of Shikoku
csk_100_article_code	100 Article Code
csk_expand_the_navy	Expand the Navy
csk_god_of_arts	God of Arts
csk_active_support_of_temples	Support of the Temples
mri_descendant_of_oe_hiromoto	Descendants of Oe Hiromoto
mri_leader_of_kokujin_ikki	Leader of Kokujin Ikki
mri_diplomatic_intrigues	Diplomatic Intrigues
mri_three_arrows	Three Arrows
mri_hiroshima_castle	Hiroshima
mri_itsukushima_shrine	Itsukushima
mri_hagi_ware	Hagi Ware
asa_hidden_diplomacy	Hidden Diplomacy
asa_echizen_paper	Echizen Paper
asa_ichijodani_city	Ichijodani City
asa_teach_of_asakura_soteki	Asakura Soteki
asa_seventeen_clan_code	Seventeen Clan Code
asa_control_of_buddhist_sects	Control of Buddhist Sects
asa_legacy_of_emperor_keitai	Legacy of Emperor Keitai
kid_lords_of_ireland	Lords Deputy
kid_ear_of_the_king	Silver Tongues
kid_silken_finery	Silken Thomas
wizard_earl	The Wizard Earl
the_curragh	Curragh Horsemanship
kid_architects_of_nation	A New Seat for the FitzGeralds
kid_royal_irish_army	Royal Irish Army
tyr_chief_of_irish_kings	Chief of Irish Kings
tyr_o_neill_mor	The O’Neill Mór
tyr_tanistry	Tanistry
tyr_arming_people	Arming the People
tyr_catholic_diplomacy	Catholic Diplomacy
tyr_ambush_warfare	Ambush Warfare
tyr_wild_geese	The Wild Geese
try_fort_foreigners	Fort of the Foreigners
try_fisher_king	The Fisher King
try_religious_patrons	Religious Patrons
try_patricks_purgatory	St Patrick’s Purgatory
try_lessons_knockavoe	Lessons of Knockavoe
try_land_of_exiles	Land of Exiles
try_scottish_ties	Scottish Ties
mcm_basque_fishermen	North Sea Fishermen
mcm_brave_and_faithful	The Brave and Faithful
mcm_hill_raiders	Hill Raiders
mcm_spanish_ties	Spanish Ties
mcm_fairer_shores	Fairer Shores
mcm_pirate_haven	Pirate Haven
mcm_enemies_everywhere	Enemies Within
legacy_of_palladius	Legacy of Palladius
lei_black_rent	The Black Rent
lei_enemy_of_enemy	The Subject of My Enemy is My Friend
lei_strong_cunning	He Who Is Not Strong Must Be Cunning
lei_long_memories	Long Memories
lei_geraldine_league	The Geraldine League
lei_military_academy	Ballinacore Military Academy
cnn_14_tribes	The Fourteen Tribes
cnn_fire_and_sword	By Fire and Sword
cnn_sea_people	People of the Sea
cnn_irish_hobby	Irish Hobbies
cnn_hell_or_connacht	To Hell or to Connacht 
cnn_catholicism	Catholic Holdouts
cnn_lord_presidency	The Lord Presidency
ord_english_service	English Service
ord_courts_of_europe	The Courts of Europe
ord_wool_earl	The Wool Earl
ord_locals_in_line	Keeping the Locals in Line
ord_irish_rivalries	Irish Rivalries
ord_subdue_irish	Irish Siegecraft
ord_build_on_success	Entrenchment of the Butler Dynasty
irish_endurance	Irish Endurance
the_clanns	The Clanns
more_than_irish	More Than Irish
loyal_catholics	Loyal Catholics
ire_abundant_harvests	Abundant Harvests
unconquerable_ireland	Unconquerable Ireland
ire_gallowglasses	Nationalized Gallowglass Septs
uls_clan_connections	Highland Connections
uls_peerage	Peerage of Ulster
civilist_of_irishry	Civilist of the Irishry
rapparee	Rapparees
catholic_ascendency	Catholic Ascendency
uls_defenders	The Defenders
uls_last_redoubt	Last Redoubt of Ireland
fly_galloglas	The Gallowglasses
fly_gracious_hosts	Irish Hospitality
fly_trade_shannon	River Trade
fly_clonmacnoise	The Fear of God
fly_tower_houses	Tower Houses
fly_family_affair	A Family Affair
fly_buannacht	The Buannacht
crn_stannary_parliaments	Stannary Parliaments
crn_cornish_rebels	Cornish Rebels
crn_prayer_book_traditionaliism	Prayer Book Traditionalism
crn_pirates_of_penzance	Pirates of Penzance
crn_royalist_army	Cornish Royalist Army
crn_gear_rout	The Gear Rout
crn_arthurian_romanticism	Arthurian Romanticism
mann_stanleys	The Stanleys
mann_kings	Kings of Mann
mann_tynwald	Tynwald High Court
mann_and_the_isles	Mann and the Isles
mann_act_of_settlement	The Act of Settlement
mann_burn_the_heretic	Burn the Heretic
mann_act_of_revestment	The Act of Revestment
innefectual_overlords	Ineffectual Overlords
foreign_nationals	Foreign Nationals
mth_parliament_of_ireland	Parliament of Ireland
mth_englishtown	Englishtown
mth_the_cess	The Cess
mth_trinity_college	Trinity College
mth_siege_mentality	Siege Mentality
fri_coastal_industry	Coastal Industry
fri_upstalsboom_league	The Upstalsboom League
fri_dutch_courage	Dutch Courage
fri_zuiderzee_settlements	The Zuider Embankments
fri_flooding_polders	Flooding the Polders
fri_mennonism	Difference of Opinion
fri_brothers_arms	Brothers in Arms
utr_devotio_moderna	Devotio Moderna
utr_ex_cathedra	Ex Cathedra
utr_fortified_town	Fortified City
utr_vaartse_rijn	The Vaartse Rijn
utr_city_churches	City of Churches
utr_cultural_resilience	Cultural Resilience
utr_enlightenment_masses	Enlightenment of the Masses
fla_cloth	Flemish Cloth
fla_land_reclamation	Land Reclamation
fla_beeldenstorm	Beeldenstorm
fla_painters	Flemish Innovation
fla_ship_building	North Sea Shipyards
fla_university	Flemish Academics
fla_noose_bearers	Noose-Bearers
brb_charter_of_liberty	Charter of Liberty
brb_marsh_warfare	Marsh Warfare
brb_palace_coudenberg	Palace of Coudenberg
brb_sugar_capital	Sugar Capital of Europe
brb_antwerp_banking	Banks of Antwerp
brb_religious_tolerance	Tradition of Toleration
brb_generality_lands	Generality Lands
lie_guild_democracy	Guild Democracy
wars_of_liege	The Wars of Liège
lie_religious_devotion	Religious Devotion
lie_wittelsbach_bishops	Wittelsbach Bishops
lie_prince_bishop_palace	The Prince-Bishop's Palace
lie_literary_society	Société Littéraire
lie_rights_of_man	Declaration of the Rights of Man and Citizen
gel_county_duchy	Feudal Elevation
gel_hanseatic	Hanseatic Towns
gel_defy_burgundy	Defiance of Foreign Rule
gel_rivers	Rule the Rivers
gel_gelderland_wars	The Gelderland Wars
gel_looting	Loot as Payment
gel_diplomatic_expansion	Land Negotiations
efr_chiefs	Chiefs of East Frisia
efr_saxon_feud	The Saxon Feud
efr_religious_thought	Center of Religious Thought
efr_dutch_migrants	Dutch Migrants
efr_mennonism	Refuge of the Mennonites
efr_city_autonomy	Autonomous Burghers
efr_emden_company	The Emden Company
aac_charlemagne_capital	Charlemagne's Capital
aac_free_city	Imperial Free City
aac_spa	Spa City
aac_guilds	Guild and Government
aac_expel_heretics	Expel Heretical Officials
aac_baroque	Baroque Architecture
aac_congresses	Congresses of Aachen
kle_walled_cities	Walled Cities
kle_cleves_mark	Cleves and Mark
kle_reformers	Avid Reformers
kle_marriages	Strategic Marriages
kle_united_duchies	United Duchies
kle_educated_duisburg	Educated Duisberg
kle_renovate_swan_castle	Militarize Schwanenburg
dakani_language	Dakani Language
dec_diwan_funding	Funding the Diwan
dec_foreign_trade_privileges	Privileges for Foreign Traders
dec_empower_paigah	Empower the Paigah
dec_modernize_the_sarf_e_khas	Modernize the Sarf-e-Khas
dec_jewels_of_the_nizams	Jewels of the Nizams
dec_encourage_industries	Encourage Growth of Industries
dlh_afghan_nobility	Afghan Nobility
dlh_suppress_rebellion	Suppress Rebellion
dlh_expansionism	Restore the Delhi Empire
dlh_textile_innovation	Promote Innovation in Textile Production
dlh_reconquest	Re-integrate Former Provinces
dlh_grand_trunk	Protect the Grand Trunk Road
dlh_throne_of_india	The Throne of India
bha_modernized_war_elephants	Modernized War Elephant Tactics
bha_united_india	Unite the Subcontinent
bha_sanskrit_golden_age	Golden Age of Sanskrit Literature
bha_indian_army	Indian Army
bha_ganga	Ganga
bha_brahmin_administration	Brahmin Administration
bha_rocketry	Develop Rocket Technology
hin_sepahi	Sepahi
hin_persianate_court	Persianate Courtly Culture
hin_indian_empire	Imperial Indian Ambition
hin_peacock_throne	The Peacock Throne
hin_gunpowder_empire	Gunpowder Empire
hin_sufism	Patronize Sufi Missionaries
hin_industrialization	Proto-Industrialization
rjp_imperial_legacy	Imperial Legacy
rjp_land_of_petty_princes	King of Petty Princes
marwari_horses	Marwari Horses
rjp_purbia_legacy	Purbia Legacy
rjp_protectors_of_the_dharma	Protectors of the Dharma
rjp_expanded_artillery_arm	Expanded Artillery Arm
rjp_monumental_architecture	Monumental Architecture
nag_unite_gonds_and_garjats	Unite the Gonds and Garjats
nag_harsh_terrain	Exploit Harsh Terrain
nag_send_for_artisans	Send for Artisans
nag_invite_maratha_warriors	Invite Maratha Warriors
nag_light_cav	Light Cavalry Shock Tactics
nag_cultivating_the_forest	Cultivating the Forest
nag_no_cb_best_cb	Unjustified Expansion
mer_rajput_heartland	Rajput Heartland
mer_victory_tower	Construct the Victory Tower
mer_kumbhalgarh	The Fort of Kumbhalgarh
mer_city_of_lakes	City of Lakes
mer_recall_purbias	Recall the Purbias
mer_firearm_drilling	Mandatory Firearm Drills
mer_reorganized_rajput_regiments	Reorganized Rajput Regiments
bng_combat_piracy	Combat Coastal Piracy
bng_habshi_generals	Promote Habshi Generals
bng_clearing_the_delta	Clear the Delta
bng_attract_sufis	Attract Sufi Scholars
bng_conquest_of_the_gangetic_plain	Conquest of the Gangetic Plain
bng_rupees	Begin the Minting of Rupees
bng_bengali_industrialization	Bengali Industrialization
garba	Garba!
jain_routes	Jain Connections
gujarati_lipi	Gujarati Lipi
merchant_diaspora	Gujarati Merchant Diaspora
spice_trade	Spice Trade
western_factors	Foreign Merchants set up Factories
guj_africa	Gujarati Diaspora Descends on Africa
snd_enduring_dynasty	Enduring Samma Dynasty
snd_bab_ul_islam	Bab ul Islam
snd_gujarati_connections	Strengthen Gujarati Connections
snd_makli_necropolis	Expand the Makli Necropolis
snd_end_judicial_corruption	End Judicial Corruption
snd_oversee_rise_of_thatta	Oversee the Rise of Thatta
snd_recruit_baloch_tribesmen	Recruit Balochi Tribesmen
dhu_improve_amer_fort	Improve the Fort at Amer
dhu_seek_protection_of_great_powers	Seek the Protection of Great Powers
dhu_restore_hindu_ceremonies	Restore Hindu Ceremonies
dhu_foundation_of_jaipur	Found the city of Jaipur
dhu_battles_in_foreign_lands	Battles in Foreign Lands
dhu_astronomical_education	Astronomical Education
dhu_recruit_from_the_pindari	Pindari Mercenaries
mys_unification_of_mysore	Unification of Mysore
mys_patronize_kannada_literature	Patronize Kannada Literature
mys_religious_tolerance	Religious Tolerance
mys_reform_silk_industry	Reform the Silk Industry
mys_rockets	Rockets!
mys_reform_mysorean_army	Reform the Mysorean Army
mys_dynamic_diplomacy	Dynamic Diplomacy
rig_legacy_of_bishop_albert	Legacy of Bishop Albert
rig_hanseatic_port	Hanseatic Port of Riga
rig_monopoly_rights	Monopoly Rights
rig_denounce_witchcraft	Denounce Witchcraft
rig_free_city	Free City of Riga
rig_fortify_riga	Fortify Riga
rig_restore_brothers_of_the_sword	Restore the Brothers of the Sword
cri_genghisid_legacy	Genghisid Legacy
cri_slavers	Slavers of the Steppe
cri_ruthenian_raids	Lead Raids into Ruthenia
cri_despoilers	Despoilers
cri_free_cattle_grazing	Free Cattle Grazing
cri_settle_the_steppes	Settle the Crimean Steppe
cri_allow_nogai_protectorates	Accept Nogai Protectorates
chr_legacy_of_the_old_principality	Legacy of the Old Principality
chr_cossack_regiments	Field Cossack Regiments
chr_regimental_barracks	Expand Regimental Barracks
chr_konotop_fortress	Konotop Fortress
chr_local_councils	Local Governance Councils
chr_renovate_transfiguration_cathedral	Renovate the Transfiguration Cathedral
chr_cultivate_the_east_dniepr	Tame the Grasslands
ilk_restored_ilkhanate	Restored Ilkhanate
ilk_favor_sufism	Favor Sufism
ilk_persian_language_at_court	Persian Language at Court
ilk_yam_networks	The Yam
ilk_mongol_peace	Mongol Peace
ilk_patronize_observatories	Patronize Observatories
ilk_recruit_turkoman_gunners	Recruit Turkoman Gunners
synth_logic_engines	Logic Engines
synth_loyalty_circuits	Loyalty Circuits
synth_durable	Durable
synth_mass_produced	Mass Produced
synth_propaganda_machines	Propaganda Machines
synth_harvesters	Harvesters
synth_emotion_emulators	Emotion Emulators
mor_powerful_viziers	Powerful Viziers
mor_marabouts	Sufi Marabouts
trans_saharan_trade	Trans-Saharan Trade
mor_fleet	Defend the Coastline
mor_pirate_republics	Protect Pirate Republics
mor_slave_soldiers	Slave Soldiers
mor_curb_power_of_the_tribes	Curb Tribal Power
tun_catalan_guard	Catalan Guard
dual_diplomacy	Dual Diplomacy
corsairs	Corsairs
tun_attract_foreign_pirates	Attract Foreign Pirates
tun_board_of_captains	Board of Captains
tun_export_monopolies	Export Monopolies
tun_caliphate	Tunisian Caliphate
lone_star_state	Lone Star State
tex_revolution	Texan Revolution
cotton_plantations	Cotton Plantations
vaqueros	Vaqueros
tex_native_frontiers	Frontier Nation
tejanos	Tejanos
adelsverin	Adelsverein
AUS_outback_stations	Outback Stations
AUS_land_down_under	The Land Down Under
AUS_eureka_rebellion	The Eureka Rebellion
AUS_sandpaper_and_cheating	The Diggers
AUS_royal_navy	Royal Australian Navy
AUS_bushrangers	Integration of the Bushrangers
AUS_waltzing_matilda	Waltzing Matilda
NZL_maori_seats	Maori Seats
NZL_otago_gold	The Otago Gold Rush
NZL_piopiotahi	Piopiotahi
NZL_haka	The Kiwi Haka
NZL_company	The New Zealand Company
NZL_rejecting_australia	Rejecting the Australia Constitution
NZL_pokarekare_ana	Pokarekare Ana
ALA_endurance	Aleutian Endurance
ALA_hard_push_east	The Hard Push East
ALA_secretary_icebox	The Secretary's Icebox
ALA_bear_hunting	Bear Hunting
ALA_diversity	Alaskan Religious Diversity
ALA_navy	Alaskan Navy
ALA_beauty	The Beauty of Alaska
CSC_melting_pot	Cascadian Melting Pot
CSC_chinook_jargon	Chinook Jargon
CSC_forts_of_hudson_bay	The Forts of Hudson Bay
CSC_settling_boundaries	Settling the Boundaries
CSC_nookta_sound	Nookta Sound Trading
the_hudson_bay_company	The Hudson Bay Company
CSC_oregon_trail	The Oregon Trail
WSI_Plantation_Economy	Plantation Economy
WSI_Blue_Mountain_Coffee	Blue Mountain Coffee
WSI_Sugar_Revolution	The Sugar Revolution
WSI_American_Trade_Hub	The American Trade Hub
WSI_Miskoto_Zambos	Miskito-Zambos
WSI_Interconnected_Relations	Interconnected Relations
WSI_Colonial_Legacy	Colonial Legacy
SNA_mercenary_republic	Republic of Mercenaries
SNA_sale_of_script	The Sale of Sonoran Script
SNA_Good_Use_Of_Gold	Gold, Gold, Gold!
SNA_cowboy_country	Cowboy Country
SNA_take_what_is_yours	Taking What’s Ours
SNA_uniting_the_outlaws	Uniting the Outlaws
SNA_taking_the_fight_south	Taking the Fight South
VRM_home_of_the_revolution	Home of the American Revolution
VRM_tea_party	The Boston Tea Party
VRM_American_Frontier	American Frontier
VRM_Cheese_wheels	Cheese Wheels
VRM_vermont_constitution	The Vermont Constitution
VRM_Liberty_is_Life	Live Free or Die
VRM_What_we_do_best	What We Do Best
asu_reconquista	Reconquista
asu_camino_de_santiago	Camino de Santiago
asu_aristocracy	Asturian Aristocracy
asu_colonialism	Voyage to the New World
asu_millenarian_revival	Millenarian Revival
asu_unify_the_provinces	Unify the Provinces
asu_early_industrialism	Early Industrialism
adu_stand_against_the_reconquista	Stand Against the Reconquista
adu_taifa_adminstration	Taifa Administration
adu_ahl_uhl_dhimma	Alh Ulh Dhimma
adu_legacy_of_ibn_arabi	Legacy of Ibn Arabi
adu_jund_settlements	Jund Settlements
adu_expeditionary_sentiment	Expeditionary Sentiment
adu_al_awasim	Al Awasim
soo_wakan	Wakan
soo_tradition_of_wakou	Wakou Tradition
soo_fight_for_tsushima	Fight for Tsushima
soo_bahan_ship	Bahan Ship
soo_tough_negotiator	Tough Negotiators
soo_port_improvement	Port Maintenance
soo_elementary_school	Elementary School
fearsome_warriors_of_tumu	Fearsome Warriors of Tumu
life_of_steppe_warrior	The Life of a Steppe Warrior
the_four_oirats	The Four Oirats
todo_besheg_script	Todo Besheg Script
OIR_great_khans_legacy	Legacy of the Great Khan
defiance_of_the_dzungars	Defiance of the Dzungars
glory_of_conquest	The Glory of Conquest
ghostly_horses_of_the_plain	Ghostly Horses of the Plain
ikh_mongol_uls	Ikh Mongol Uls
life_of_steppe_warrior	The Life of a Steppe Warrior
northern_yuan	The Northern Yuan
yams_of_the_great_khan	Yams of the Great Khan
mongolian_mobility	Mongolian Mobility
MNG_kheshig	The Kheshig
the_mountain_khanate	The Mountain Khanate
CHG_border_wars	Ceaseless Border Wars
sons_of_chagatai	Sons of Chagatai Khan
CHG_chagatai_literature	Chagatai Literature
tradition_of_conquest	The Tradition of Conquest
CHG_constant_scheming	Scheming Nobility
glory_of_conquest	The Glory of Conquest
shun_humble_beginnings	Humble Beginnings
shun_dashing_king	The Dashing King
shun_hidden_treasury	Hidden Treasury
shun_obedient_to_heaven	Obedient to Heaven
shun_perfection_of_sieging	Perfection of Siegecraft
shun_from_sticks_to_guns	From Sticks to Guns
shun_claim_to_the_mandate	Claim to the Mandate
nrm_norman_conquest	Conquerors
nrm_norman_philosophers	Norman Philosophers
nrm_channel_islands	The Channel Islands
nrm_viking_explorers	Descendants of Seafarers
nrm_viking_raids	Viking Raids
nrm_naval_invasion	Naval Invasion
nrm_great_commanders	Great Commanders
pis_restore_the_pisan_navy	Restore the Pisan Navy
pis_the_leaning_tower	The Leaning Tower
pis_the_university_of_pisa	The University of Pisa
pis_urbanization_effort	Urbanization effort
pis_anziani_del_popolo	Anziani del Popolo
pis_maritimes_legacy	Maritime's legacy
pis_fund_the_masnada	Fund the Masnada
epi_pyrrhus	Legacy of Pyrrhus
epi_chronicle_of_the_toco	Chronicle of the Tocco
epi_serbs_and_albanians	Albanian and Serbian Tribes
epi_metropolis_of_knowledge	Metropolis of Knowledge
epi_latin_knights	Latin Knights
epi_trade_influences	Entrepôt of the Adriatic
epi_unity_in_strength	Unity in Strength
lot_legacy_of_the_carolingians	Legacy of the Carolingians
lot_glory_of_charlemagne	Glory of Charlemagne
lot_dutch_cities	Wealth of the Low Countries
lot_carolingian_renaissance_II	New Carolingian Renaissance
lot_court_of_europe	The Court of Europe
lot_land_of_abbeys	Land of Bishops
lot_european_empire	Europa Universalis Imperii
fkn_duchy_restored	The Duchy Restored
fkn_main_trading	Trading on the Main
fkn_rugged_land_of_fortresses	A Rugged Land of Fortresses
fkn_free_knights_of_franconia	Free Imperial Knights of Franconia
franconian_wine	Franconian Wine
fkn_baroque	A Baroque Duchy
fkn_franconian_bourgeoisie	Franconian Bourgeoisie
sor_zittau_mountains	Zittau Mountains
sor_sale_of_land	Sale of Land
sor_lusatian_landtag	Lusatian Landtag
sor_wittelsbach_history	Wittlesbach History
sor_lusatian_league	Lusatian League
sor_rights_of_all_religions	Rights for all Religions
sor_political_influences	Cultural Influences
cli_marry_your_daughters	Dynastic Marriages
cli_mercenary_captains	Mercenary Captains
cli_political_manoevring	Political Maneuvering
cli_slovenian_reformation	Slovenian Reformation
cli_border_wars	Border Wars
cli_italian_baroque	Italian Baroque
cli_standardised_slovene_language	Standardized Slovenian Language
wes_jewish_rights	Jewish Rights
wes_westphalian_decentralisation	Westphalian Decentralization
wes_increased_conscription	Universal Conscription
wes_administrative_assimilation_of_rheinlanders	Assimilation of the Rhenish People
wes_taxation	Tax Reforms
wes_enlightenment	Religious Toleration
wes_cities_of_the_rhineland	Cities of the Rhineland
swa_decentralisation	Swabian Decentralization
fugger_banks	Fugger Banking
swa_free_cities	Land of the Free Cities
swa_swabian_league	The Swabian League
swa_stinginess	A Miserly People
swa_hohenstaufen_emperors	Memory of the Hohenstaufen
swa_barbarossas_legacy	Barbarossa's Legacy
ttl_league_system	The League System
ttl_gods_house	The League of God's House
ttl_grey_league	The Grey League
ttl_league_of_ten	The League of Ten
ttl_independent_cities	Independent Cities
ttl_economic_league	An Economic League
ttl_expanding_league	Expanding the Leagues
gnv_grand_council	The Grand Council
gnv_neutral_grounds	Neutral Grounds
gnv_home_of_calvin	The Home of John Calvin
gnv_spiritual_leader	Spiritual Leader of Geneva
gnv_calvins_laws	Calvin's Laws
gnv_unconquerable_city	Unconquerable City
gnv_armed_neutrality	Armed Neutrality
ICE_althingi	The Althingi
ICE_hrafna_floki	Legacy of Hrafna-Floki
ICE_christian_identity	Christian Identity
ICE_merchant_navy	Armed Merchants
ICE_fire_and_ice	The Men of Fire and Ice
ICE_natural_builders	Resilient Craftsmen
ICE_nationalism	Icelandic National Identity
TIW_yiminga	Yiminga
TIW_dreaming_totem	The Dreaming Totem
TIW_kulama	Kulama
TIW_purrukapali	Purrukapali
TIW_marriage	Tiwi Marriage Traditions
TIW_isolationism	Tiwi Isolationism
TIW_one_people	One People
EOR_lifestyle	Eora Lifestyle
EOR_bands	Twenty-Nine Bands
EOR_enduring	Enduring Culture
EOR_protect	Protect the Ancestral Land
EOR_sacred	The Sacred Shore
EOR_pemulwuy	Pemulwuy
EOR_berewaldal	Berewaldal
KAU_totemic_matriarchy	Totemic Matriarchy
KAU_pangkarra	The Pangkarra System
KAU_coastal_pangkarra	Coastal Pangkarra
KAU_redgum_shelters	Redgum Shelters
KAU_communal_ownership	Communal Ownership
KAU_old_tjilbruke	Old Tjilbruke
KAU_south_australia_act	South Australia Act
PLW_oyster	Oyster Bay
PLW_dual_identity	Dual-Identity
PLW_darwin	Darwin Glass
PLW_parlevar	Parlevar
PLW_writers	First Aboriginal Writers
PLW_survivors	Survivors of the Black War
PLW_enduring	Enduring People
LAR_makassar_trade	The Makassarian Trade
LAR_federation	The Larrakia Federation
LAR_dreaming	Larrakia Dreaming
LAR_dowed	Dowed
LAR_ceremonial_scarring	Ceremonial Scarring
LAR_hospitality	Larrakia Hospitality
LAR_kenbi_land_claim	The Kenbi Land Claim
GMI_sacred_caves	The Sacred Caves
GMI_land_of_languages	Land of Languages
GMI_fertile_soils	Fertile Soils of Kamilaroi
GMI_dhulu	Dhulu
GMI_matrilineal_lineage	Matrilineal Lineage
GMI_familial_law	Familial Law
GMI_red_kangaroo	Red Kangaroo
the_great_proclamation	The Great Proclamation
confucian_revival	Confucian Revival
autonomous_villages	Autonomous Villages
