aac_charlemagne_capital	Charlemagne's Capital
SKJ_loyalty_to_the_crown	Loyalty to the Crown
skk_chumbi_valley	Chumbi Valley
skk_mun_priesthood	Mun Priesthood
skk_multiethnic_court	Unity Through Opportunity
skk_divine_revelations	Divine Revelations
skk_kabi_lungchok_treaty	Kabi Lungchok Treaty
skk_mountain_terraces	A Farm in the Clouds
skk_a_land_of_peace	A Land of Peace
SKR_8port_kingdom_war	The Eight Port Kingdoms War
SKR_korean_persian_relation	Korean-Persian relations
SKR_hwabeak	The Hwabaek
SKR_hwarang	The Hwarang
SKR_korean_unification	Korean Unification
SKR_repress_jingol	Repress the Jingol
SKR_sodang	The Sodang
SLE_trading	Additional Merchants
SLE_galley_slaves	Galley Slaves
SLE_merchant_admirals	Merchant Admirals
SLE_military_innovation	Military Innovation
SLE_merchant_travels	Merchant Travels
SLE_protected_trade	Protected Trade
SLE_shipwrights	Shipwrights
sln_promote_the_trade	Promote the Trade
sln_rebuild_the_castle_of_sligo	Rebuild the Castle of Sligo
sln_galic_meets_norman	Cultural Crossroads
sln_a_different_way	A Different Way
sln_study_the_norman_traditions	Study the Norman Traditions
sln_sligo_rules_the_waves	Sligo's Naval Ambition
sln_pragmatism	Pragmatism Over All
slo_rudohorie	Rudohorie
slo_universitas_istropolitana	Universitas Istropolitana
slo_golden_kremnica	Golden Kremnica
slo_land_of_castles	Land of Castles
slo_town_air_liberates	Town Air Liberates
slo_literary_language	Slovak Literary Language
slo_slovak_national_awakening	Slovak National Awakening
salzburg_cathedral	Salzburg Cathedral
to_side_with_the_holy_see	History of Papal Sidings
the_notion_of_a_diet	Convene the Diet of Salzburg
choices_for_salzburgs_people	The Choice of Faith
university_of_salzburg	University of Salzburg
strength_over_the_mercantile_class	Clergy over Merchants
militarized_prince_bishopric	Extend our Temporal Control
the_great_many_people_of_south_borneo	Plentiful People; Bountiful Communities
fear_through_headhunting	Headhunting!
ferocity_even_on_water	Ferocious Sailors of Borneo
remedy_the_sea_and_land_dayaks	Dayaks of Different Places
primogeniture_within_the_monarchy	Seeing how Sambas Develops
spreading_of_malay_influences	Malay Influences in Sambas
kaharingan_influences_upon_sambas	Regular Islamic Contacts
sme_atabegs_of_samtskhe	Atabegs of Samtskhe
sme_proactive_diplomacy	Proactive Diplomacy
sme_fortresses_of_samtskhe	Fortresses of Samtskhe
sme_independent_Ambition	Independent Ambition
sme_protect_trade_routes	Protect the Trade Routes
sme_frontier_warriors	Frontier Warriors
sme_sacred_land	A Sacred Land
SMG_Zemaiciu_Alkas	Zemaiciu Alkas
SMG_Legacy	Palemonid Legacy
SMG_Medininkai	Medininkai
SMG_Victory	Victory Against the Orders
SMG_Paganism	Rooted Pagan Beliefs
SMG_Political	Changing Political Landscape
SMG_Cultural_Revival	Lithuanian Cultural Revival
smi_land_of_the_midnight_sun	Land of the Midnight Sun
smi_protect_the_herds	Protection of Reindeer Herds
smi_regulate_southern_trade	Regulate Trade with the Southerners
smi_encourage_growth_of_the_winter_market	Encourage growth of the Winter Market
smi_defend_noaidi_traditions	Defend the Noaidi Traditions
smi_living_of_the_land	Living off the Land
smi_standardized_literary_language	Standardize Literary Language
smolenskian_resolve	Smolenskian Resolve
armories_of_smolensk	The Armories of Smolensk
smo_western_mercenaries	Western Mercenaries
the_great_foundry	The Great Foundry
smo_hold_the_line	Hold The Line
artillery_before_all	Artillery Before All
tsar_mortars	Tsar Mortars
LUL_reindeer_herds	Reindeer Herds
LUL_norse_sami_relations	Norse/Sami Relations
LUL_foraging_in_winter	Winter Foraging
LUL_continious_leadership	Continuous Leadership
LUL_ukko_strength	Ukko's Might
LUL_state_autonomy	Autonomous States
LUL_scandinavian_hardiness	Scandinavian Hardiness
smz_satsuma_hayato	Satsuma Hayato
smz_satsunan_school	Satsunan School
smz_reunion_of_three_provinces	Reunion of Three Provinces
smz_tsurinobuse	Tsurinobuse
smz_tanegashima	Tanegashima
smz_ryukyu_trade	Okinawa Trade
smz_early_westernization	Early 'Westernization'
SNA_mercenary_republic	Republic of Mercenaries
SNA_sale_of_script	The Sale of Sonoran Script
SNA_Good_Use_Of_Gold	Gold, Gold, Gold!
SNA_cowboy_country	Cowboy Country
SNA_take_what_is_yours	Taking What’s Ours
SNA_uniting_the_outlaws	Uniting the Outlaws
SNA_taking_the_fight_south	Taking the Fight South
snd_enduring_dynasty	Enduring Samma Dynasty
snd_bab_ul_islam	Bab ul Islam
snd_gujarati_connections	Strengthen Gujarati Connections
snd_makli_necropolis	Expand the Makli Necropolis
snd_end_judicial_corruption	End Judicial Corruption
snd_oversee_rise_of_thatta	Oversee the Rise of Thatta
snd_recruit_baloch_tribesmen	Recruit Balochi Tribesmen
aksumite_heritage	Aksumite Heritage
ifat_sultanate_ties	Ties to the Ifat Sultanate
history_of_religious_conflict	History of Religious Conflict
memory_of_the_makhzumi_dynasty	Legacy of the Makhzumi Dynasty
tensions_with_the_oromo	Tensions with the Oromo
defense_over_offense	Defense over Offense
religious_deliberation	Religious Deliberation
patrol_the_niger_river	Patrol the Niger River
subjugate_rival_chiefs	Subjugate Internal Pretenders
the_komo_council	The Komo Council
the_slave_war_cycle	The Slave-War Cycle
build_up_segu_cities	Build up Segu Cities
sculptures_and_altars_to_our_ancestors	To Our Ancestors
improve_upon_songhai_build_methods	Improve Building Methods
wandering_scholars	Wandering Scholars
unrighteous_kings	Unrighteous Kings
fulani_jihads	Fulani Jihads
imams_and_emirs	Imams and Emirs
islamic_scholarship	Islamic Scholarship
community_of_the_faithful	Community of the Faithful
caliph_in_africa	The Caliph in Africa
evenk_family_brigades	Family Brigades
evenk_reindeer_herds	Reindeer Herding
event_self_sufficiency	Self-Sufficiency
evenk_siberian_resources	Siberian Resources
evenk_mongolian_deel	Mongolian Deel
evenk_love_of_the_forest	Love of the Forest
evenk_new_ways_to_hunt	New Ways to Hunt
SOM_land_of_punt	Land of Punt
SOM_african_silk_road	African Silk Road
SOM_african_minting	African Minting
SOM_zeila_and_berbera	Zeila and Berbera
SOM_blue_nile	The Bue Nile
SOM_indian_merchants	Indian Merchants
SOM_faithful_to_allah	Faithful to Allah
gold_to_salt_trade	Gold To Salt Trade
independence_from_mali	Independence from Mali
jihad_against_the_pagans	Jihad Against the Pagans
sankore_madrassah	Sankore Madrassah
the_hajj	The Hajj
sharia	Sharia
trans_sahara_trade	Trans-Sahara Trade
soo_wakan	Wakan
soo_tradition_of_wakou	Wakou Tradition
soo_fight_for_tsushima	Fight for Tsushima
soo_bahan_ship	Bahan Ship
soo_tough_negotiator	Tough Negotiators
soo_port_improvement	Port Maintenance
soo_elementary_school	Elementary School
sor_zittau_mountains	Zittau Mountains
sor_sale_of_land	Sale of Land
sor_lusatian_landtag	Lusatian Landtag
sor_wittelsbach_history	Wittlesbach History
sor_lusatian_league	Lusatian League
sor_rights_of_all_religions	Rights for all Religions
sor_political_influences	Cultural Influences
the_masmuda_berbers	The Masmuda Berbers
almohad_legacy	The Almohad Legacy
sus_valley_trade_routes	Sous Valley Trade Routes
market_town_souks	The Souq!
atlas_mountain_defenses	Atlas Mountain Defenses
utilizing_corsair_connections	Corsair Connections
beyond_berber_confederacies	Beyond Berber Confederacies
devout_catholisism	Devout Catholicism
inter_caetera	Inter Caetera
gold_fleet	Treasure Fleet
spanish_armada	A Spanish Armada
spa_casa_de_contracion	Casa de Contratación
spa_cortes	Rein in the Cortes
siglo_de_oro	Siglo de Oro
spi_flexibility	Diplomatic Flexibility
spi_defensive_prowess	Defensive Prowess
the_shroud_of_turin	The Shroud of Turin
spi_royal_sardinian_army	Royal Sardinian Army
spi_centralized_state	Centralized State
spi_piedmontese_manufacturing	Piedmontese Manufacturing
spi_risorgimento	The Risorgimento
former_kings_of_italy	Former Kings of Italy
papal_connections_and_alliances	Friends in High Places
the_gift_of_spoleto	The Gift of Spoleto
the_ins_and_outs_of_central_italy	Italian Crossings
stalwart_faith_of_spoleto	Unshaken Religious Convictions
loaning_our_swords_around_italy	Loan Our Sword; Lend Your Sword
learn_from_the_papacy	Teachings of the Holy See
suppression_of_rebellions	Suppression of Rebellions
nagpur_states	Orissa States
rajput_order	Rajput Order
central_overlord_status	Overlord Status
prized_hunting_grounds	Prized Hunting Grounds
marathi_cavalry_connection	Marathi Cavalry Connection
light_warfare	Light Warfare
SRH_hindushahi_capital	Hindushahi Capital
SRH_islamic_khan	Islamic Khan
SRH_delhi_to_lahore	Delhi to Lahore
SRH_tolerance_of_faith	Tolerance of Faith
SRH_commerical_importance	Commercial Importance
SRH_connection_to_multiple_faiths	Connection to Multiple Faiths
SRH_fast_warfare	Fast Warfare
compete_around_nahan	Nahan Competition
to_learn_when_we_aid_others	We Send Aid and Observers
how_to_farm_in_the_mountains	Sprouting from just a Rock
what_the_sikhs_teach_us	Sikh Influences in Sirmur
chains_of_sirmur_command	Chains to the Administration
transition_the_fiefs_of_sirmur	Higher Level Practices in Sirmur
the_usage_of_the_kukri	The Kukri!
SRT_The_Forges_of_Saratov	The Forges of Saratov
SRT_Plentiful_Armaments	Plentiful Armaments
SRT_Careful_Maneuvering	Careful Maneuvering
SRT_Saratovan_Steel	Saratovan Steel
SRT_Increase_Iron_Imports	Increase Iron Imports
SRT_Forge_Forgery	Forge Forgery
SRT_Invest_in_the_Countryside	Invest in the Countryside
sarukhan_bey	Sarukhan Bey
emirate_of_germiyan	Emirate of Germiyan
great_mosque_at_manisa	Great Mosque at Manisa
promote_naval_power	Promote Naval Supremacy
rival_of_the_byzantines	Rivals of the Byzantines
gunpowder_innovations	Gunpowder Innovations
beyond_being_a_seljuk_march	Beyond being a Seljuk March
srv_khalwati_order	The Khalwati Order
srv_fortresses_of_shirvan	Fortresses of Shirvan
srv_tribesmen_of_the_caucasus	Tribesmen of the Caucasus
srv_persianate_patronage	Persianate Patronage
srv_caspian_trade	Caspian Trade
srv_shirvani_architecture	Shirvani Architecture
srv_merchants_of_baku	Merchants of Baku
SSI_oral_history	Massai Oral History
SSI_settlements_in_east_africa	Settlements of East Africa
SSI_bead_work	Bead Work
SSI_quick_built_shelter	Quickly built shelters
SSI_music_and_dance	Music and Dance
SSI_culture_of_cattle	Culture of Cattle
SSI_inter_religious_dialogue	Interfaith Dialogue
languages_around_us	The Place of Many Languages
centralize_the_shan_states	Centralize the Shan States
hill_and_jungle_fights	Highland and Tropical Warfare
contest_for_the_irrawaddy_valley	Contest for the Irrawaddy River
communities_that_stand_together	The Shan Stand Together
the_chronicles_of_our_leaders	Chronicles of our Leaders
inter_religious_dialogue	Encourage Religious Dialogue
STA_turtle_clan	Turtle Clan
STA_deer_clan	Deer Clan
STA_bear_clan	Bear Clan
STA_wolf_clan	Wolf Clan
STA_marten_clan	Marten Clan
STA_eagle_clan	Eagle Clan
STA_crane_clan	Crane Clan
STE_Teutonicorum	Multus Populus Teutonicorum
STE_Brandenburg	Wars with Brandenburg
STE_Magdeburg_Laws	Adopt Magdeburg Laws
STE_Baltic_Trade	Baltic Sea Trade
STE_Ducal_Castle	The Ducal Castle
STE_Mercenary_Tax	Mercenary Tax
STE_Reunite_Pomerania	Reunite Pomerania
stk_hitachi_genji	Hitachi Genji
stk_dual_administration	Dual Administration
stk_suppression_of_ikki	Suppression of Ikki
stk_kashima_jingu	Kashima Jingu
stk_eastern_coalitions	Eastern Coalitions
stk_mito_castle	Strong Central Rule
stk_man_of_fidelity	Honorable Reputation
sty_austrian_march	Austrian March
sty_neuberg_abbey	Neuberg Abbey
sty_georgenberger_handfeste	Georgenberger Handfeste
sty_expel_the_protestants	Expel the Protestants
sty_establish_buffer_zone	Establish Buffer Zone
sty_styrian_mountains	Styrian Mountains
sty_imperial_ambition	Imperial Ambition
SUD_Bulwarks	Bulwarks Against Outsiders
SUD_Leaders	Leaders of Europe
SUD_slav_smith	Slavic Smithing
SUD_Modern_Warfare	Adoption of Modern Warfare
SUD_Old_Empire	Reconquest of the Old Empire
SUD_Admins	Royal Administration
SUD_Borders	Slavic Germanic Borders
birthplace_of_a_culture	Birthplace of a Culture
akson_thai	Akson Thai
sawankalok_ware	Sawankalok Ware
wat_si_sawai	Wat Si Sawai
father_governs_children	Father Governs Children
ramkhamhaeng_stele	Ramkhamhaeng Stele 
suk_war_elephants	War Elephants
sul_sultanate_of_sulu	Sultanate of Sulu
sul_makhdum_teachings	Makhdum's Teachings
sul_across_the_sulu_sea	Across the Sulu Sea
sul_port_of_jolo	Port of Jolo
sul_dagat_sulu	Dagat Sulu
sul_coconut_plantations	Coconut Plantations
sul_pearl_farming	Pearl Farming
glory_of_the_taruma_kingdom	Glory of the Taruma Kingdom
rivalries_in_java	Rivalries in Java
catalogue_sundanese_history	Catalogue Sundanese History
promote_sundanese_trade	Promote Sundanese Trade
to_unify_java_and_beyond	Unification of Java and Beyond
trade_with_muslim_merchants	Trade with Muslim Merchants
resist_foreign_influence	Resisting Foreign Influence
against_the_iroquois	Against the Iroquois
strengthen_our_confederacy	Strengthen the Susquehannock
expanding_against_rivals	Unrivled Expansion
ruthless_warfare	Ruthless Warfare
recover_from_disasters	Recovering from Disasters
the_notion_of_trade	Increasing Trade Opportunities
susquehannock_dominance	Susquehannock Dominance
kung_och_riksdag	Kung och Riksdag
swedish_steel	Swedish Steel
hakkapelitta	The 'Hakkapeliitta'
indelningsverket	Indelningsverket
swedish_absolutism	Swedish Absolutism
produktplakatet	Produktplakatet
union_and_security_act	Union and Security Act
swa_decentralisation	Swabian Decentralization
fugger_banks	Fugger Banking
swa_free_cities	Land of the Free Cities
swa_swabian_league	The Swabian League
swa_stinginess	A Miserly People
swa_hohenstaufen_emperors	Memory of the Hohenstaufen
swa_barbarossas_legacy	Barbarossa's Legacy
kung_och_riksdag	Kung och Riksdag
swedish_steel	Swedish Steel
hakkapelitta	The 'Hakkapeliitta'
indelningsverket	Indelningsverket
swedish_absolutism	Swedish Absolutism
produktplakatet	Produktplakatet
union_and_security_act	Union and Security Act
swiss_mercenaries	Swiss Mercenaries
swiss_tolerance	Swiss Tolerance
the_swiss_confederation	The Swiss Confederation
alpine_defensiveness	Alpine Defensiveness
oasis_of_peace_and_prosperity	Oasis of Peace and Prosperity
haven_for_refugees	Haven for Refugees
clockwork	Clockwork
uyghur_gansu_kingdom_memories	The Old Gansu Kingdom
our_trade_is_warfare	A Life of War
the_influences_of_buddhism	Influences of Buddhism
learn_from_tangut_dominance	Tales of the Tangut Period
the_western_xia_war	The Western Xia War
reconnect_with_our_kin	Reconnect with Uyghurs Elsewhere
revive_yugur_prosperity	Revive Yugur Prosperity
synth_logic_engines	Logic Engines
synth_loyalty_circuits	Loyalty Circuits
synth_durable	Durable
synth_mass_produced	Mass Produced
synth_propaganda_machines	Propaganda Machines
synth_harvesters	Harvesters
synth_emotion_emulators	Emotion Emulators
SYO_kongolese_kings	Kongolese Kings
SYO_river_loze	River Loze
SYO_mwene_soyo	Mwene Soyo
SYO_royal_baptism	Royal Baptism
SYO_expand_and_conquer	Expand and Conquer
SYO_expansion_on_the_atlantic_coast	Expansion on the Atlantic Coast
SYO_portuguese_missionaries	Portuguese Missionaries
SYR_cyrus_the_great	Cyrus the Great
SYR_alexander_the_great	Alexander the Great
SYR_julia_domna	Julia Domna
SYR_nuturing_arabic	Nurturing Arabic
SYR_citadel_of_aleppo	Citadel of Aleppo
SYR_adoption_of_ottoman_millets	Adoption of Ottoman Millets
SYR_entrapot_of_mecca	Entrepot of Mecca
SZO_golden_age	The Saluzzo Golden Age
SZO_rich_mountain	The Rich Mountains of Saluzzo
SZO_marquisate	Marquisate
SZO_alpine_engineering	Alpine Engineering
SZO_key_to_italy	The Key to the House of Italy
SZO_chiesa_san_giovanni	Chiesa San Giovanni
SZO_mint	The Marquis Mint
caspian_safe_haven	A Safe Haven
caspian_silk	Caspian Silk
caspian_riches_of_tabarestan	The Riches of Tabarestan
caspian_time_of_turmoil	A Time of Turmoil
caspian_sea_trade	Protect the Caspian Trade
caspian_promote_foreign_trade	Promote Foreign Trade
caspian_unite_minor_states	Unite the states of Tabarestan
TAH_nation_of_wolves	Nation of Wolves
TAH_stationary_tribe	Stationary Tribe
TAH_ritual_leadership	Ritual Leadership
TAH_movement_across_lakes	Movement across lakes
TAH_ceremonial_shamans	Ceremonial Shamans
TAH_assistance_of_strangers	Assistance of Strangers
TAH_fur_trade	Fur Trader
TAI_idea_1	Sons of the Jaguar
TAI_idea_2	Dense Irrigation
TAI_idea_3	Fishing Life
TAI_idea_4	Tairona Gold
TAI_idea_5	Caciques
TAI_idea_6	Religious Rituals
TAI_idea_7	Learning from the Colonizers
AOT_chieftanship	Chieftanship
AOT_whaikorero	Whaikorero
AOT_moa	Moa Birds
AOT_cultivation	Cultivation of Crops
AOT_keohara_tephra	Keohara Tephra
AOT_whakapapa	Whakapapa
AOT_fortified_pa	Portified Pa
AOT_chieftanship	Chieftanship
AOT_fortified_pa	Portified Pa
AOT_whakapapa	Whakapapa
AOT_whaikorero	Whaikorero
AOT_cultivation	Cultivation of Crops
AOT_moa	Moa Birds
AOT_keohara_tephra	Keohara Tephra
copperworking	Copperworking
no_mercy	No Mercy
merchant_officials	Merchant-Officials
war_bonfires	War Bonfires
fortified_frontier	Fortified Frontier
otomi_settlements	Otomi Settlements
tarascan_assmilation	Tarascan Assimilation
mandala_system	Mandala System
tau_elephant_battles	Elephant Warfare
nat_worship	Nat Worship
chakravartin	Chakravartin
the_hluttaw	The Hluttaw
tau_organized_campaigns	Organized Military Campaigns
bayingyi	Bayingyi
TBR_Carpet	Carpet Weaving
TBR_Commerce	Commercial Hub
TBR_Nations	Capital of Nations
TBR_Soil	Volcanic Soil
TBR_Arg	Arg of Tabriz
TBR_Bazars	Vibrant Bazars
TBR_Reconstruct	Reconstruction of Destroyed Buildings
zambezi_maravi_influences	Maravi Influences
tbk_central_melting_pot	Central Melting Pot
tbk_healthy_priest_kings	Healthy Priest Kings
tbk_office_of_the_mulwa	Office of the Mulwa
tbk_inter_african_trade	Inter-African Trade
tbk_break_the_power_of_the_makambala	Break the power of the Makambala
tbk_welcome_the_swahili_merchants	Welcome Swahili Merchants
TBU_desert_camel	Desert Camel Caravans
TBU_horses	Arabic Horses
TBU_farming	Tabuki Farming
TBU_citadel	Citadel of Arabia
TBU_expansion	Northern Expansion
TBU_sedentary	Sedentary Life
TBU_trade	Desert Trade
conflicts_against_muslims	Conflicts with Muslims
intersection_of_trade_routes	Intersection of Trade Routes
code_of_laws	Code of Laws
a_volatile_region	Our Volatile Region
peasant_soldiers	Peasant Soldiers
bastion_of_orthodoxy	Bastion of Orthodoxy
succeed_the_old_khans	Succeed the Old Khans
AOT_cultivation	Cultivation of Crops
AOT_fortified_pa	Portified Pa
AOT_chieftanship	Chieftanship
AOT_keohara_tephra	Keohara Tephra
AOT_whaikorero	Whaikorero
AOT_moa	Moa Birds
AOT_whakapapa	Whakapapa
TDO_copperplate	Copperplate Inscriptions
TDO_sanskrit_and_hindus	Sanskrit, Hindus and Malays
TDO_coastal_defenses	Coastal Defenses
TDO_celestial_constellation	Celestial Constellations
TDO_uniting_the_islands	Unite the Islands
TDO_pearls_and_spice	Pearls and Spice
TDO_bastion_of_faith	Bastion of Faith
TEN_wall_painting	Wall Paintings
TEN_animal_husbandry	Animal Husbandry
TEN_kingship_and_cosmological_order	Kingship and Cosmological Order
TEN_dirty_hands	Dirty Hands and Hard Work
TEN_earth_and_ancestors	Earth and Ancestors
TEN_dual_responsibilities	Dual Responsibilities
TEN_kungtangpoko	Kungtangpoko
land_of_the_gods	'Land of the Gods'
makers_of_dyes	Makers of Dyes
at_the_foot_of_the_mountain	'At the Foot of the Mountain'
celestial_constellation	'Celestial Constellation'
aztec_fighting_spirit	Aztec Fighting Spirit
zapotec_influences	Zapotec Influences
nahuatl_bastion	Nahuatl Bastion
TER_majapahit_contact	Majapahit Contact
TER_four_divisions	Four Divisions
TER_fast_ships	Fast Ships
TER_powerful_sailors	Powerful Sailors
TER_standardised_trade	Standardised Trade
TER_Islamic_adoption	Islamic Adoption
TER_clove_production	Clove Production
TET_glorious_leader	Glorious Leader
TET_merchants	Strong Merchants
TET_elite_generals	Elite Generals
TET_military_industry	Military Industry
TET_diplomatic_thinkers	Diplomatic Thinkers
TET_resettlement	Resettlement
TET_total_war	Total War
teu_idea_1	Reform the Army
teu_idea_2	Recruit Peasants
teu_idea_3	Adjust our Infantry Tactics
teu_idea_4	Assume Religious Authority
teu_idea_5	Expand the Marches
teu_idea_6	Promote Prussian Bishops
teu_idea_7	One State, One Religion
lone_star_state	Lone Star State
tex_revolution	Texan Revolution
cotton_plantations	Cotton Plantations
vaqueros	Vaqueros
tex_native_frontiers	Frontier Nation
tejanos	Tejanos
adelsverin	Adelsverein
saadi_dynastic_sharifs	Saadi Sharifs
diplomatic_manuevers_in_morocco	Diplomacy in Morocco
minting_of_tafilalt_coins	Tafilalt Mints
market_town_souks	The Souq!
trade_beyond_the_sahara	Trade Beyond the Sahara
supplies_of_the_desert	Desert Logistical Mastery
tombs_for_our_rulers	Tombs for our Rulers
dual_diplomacy	Dual Diplomacy
desert_warfare	Desert Warfare
trans_saharan_trade	Trans-Saharan Trade
corsairs	Corsairs
ber_barbary_pirates	Barbary Pirates
tuareg_cavalry	Tuareg Cavalry
brothers_barbarossa	The Brothers Barbarossa
thu_partition_of_leipizg	The Partition of Leipzig
thu_erfurt_fortifications	Fortifications of Erfurt
thu_protector_of_reformers	Protector of Reformers
thu_university_of_jena	Salana University
thu_saxon_duchies	The Saxon Duchies
thu_weimar_clacissicism	Weimar Classicism
thu_expansive_marriage_policies	Expansive Marriage Policy
monasteries_of_tibet	The Holy Sites of Tibet
great_works_of_thang_tong_gyalpo	Great Works of Thangtong Gyalpo
household_castles_for_bonpos	Bon Dzongs
the_nyingma_school	The Nyingma School
the_kagyu_schools	The Kagyu Schools
the_sakya_school	The Sakya School
the_gelug_school	The Gelug School
TID_duko	Ruler of the Mountain
TID_four_divisions	Four Divisions
TID_trade_centre	Trade Centres
TID_powerful_sailors	Powerful Sailors
TID_tidore_soa	Tidore Soa
TID_Islamic_adoption	Islamic Adoption
TID_clove_production	Clove Production
timurid_architecture	Timurid Architecture
the_mantle_of_the_great_khan	The Mantle of the Great Khan
unleash_the_tiger	Unleash the Tiger
chagatai_literature	Chagatai Literature
timurid_renaissance	Timurid Renaissance
riches_of_the_silk_road	Control of the Silk Road
reform_the_diwan	Reform the Diwan
TIO_nation_of_wolves	Nation of Wolves
TIO_stationary_tribe	Stationary Tribe
TIO_ritual_leadership	Ritual Leadership
TIO_movement_across_lakes	Movement across lakes
TIO_ceremonial_shamans	Ceremonial Shamans
TIO_assistance_of_strangers	Assistance of Strangers
TIO_fur_trade	Fur Trader
house_of_meinhardiner	House of Meinhardiner
church_property	Church Property
landlibell	Landlibell
tiroler_schutzen	Tiroler Schuetzen
zeughaus	Zeughaus
schloss_tirol	Schloss Tirol
trading_crossroads	Trading Crossroads
TIW_yiminga	Yiminga
TIW_dreaming_totem	The Dreaming Totem
TIW_kulama	Kulama
TIW_purrukapali	Purrukapali
TIW_marriage	Tiwi Marriage Traditions
TIW_isolationism	Tiwi Isolationism
TIW_one_people	One People
tkd_leader_of_kai_genji	Leader of Kai Genji
tkd_river_dams	Shugo of River Dams
tkd_information_network	Information Network
tkd_kurokawa_gold_mine	Kurokawa Gold Mine
tkd_koshu_hatto	Koshu Hatto
tkd_twentyfour_generals	Twenty-Four Generals
tkd_koyo_gunkan	Koyo Gunkan
tkg_mikawa_bushi	Mikawa Bushi
tkg_strengthen_the_sekisho_network	Strengthen the Sekisho Network
tkg_hatamoto	Hatamoto
tkg_metsuke	Metsuke
tkg_matsudaira_branches	Matsudaira Branches
tkg_toshogu	Toshogu
tkg_famine_policies	Famine Policies
tki_genji_in_mino	Genji of Mino
tki_ranjatai	Ranjatai
tki_banner_of_balloonflower	Banner of Bellflower
tki_inabayama_castle	Strategic Castles
tki_peculation_of_aristocrat_mannors	Peculation of Estates
tki_saito_family	Innovation Over Tradition
tki_flood_control_of_three_rivers	Flood Control
TKT_devout	Devoutness of the Knights
TKT_heavy_knights	Heavy Knights
TKT_flock_to_banners	Flocking to the banners
TKT_crusader_state	Crusader State
TKT_crusader_cities	Fortified Cities
TKT_agressive_diplomacy	Religious Diplomacy
TKT_purge_hah	Purge the Heretics and Heathens
nagualism_in_our_religion	Nagualism
taking_in_surrounding_cultures	Surrounding Cultural Influences
cultivation_of_cotton_garments	Cotton Garments
fighting_the_aztecs	Fighting the Aztecs
cultivate_larger_dominions	Cultivate Larger Dominions
taking_what_is_rightfully_tlapanec	What is Rightfully Tlapanec
an_integrated_tlapanec_state	An Integrated Tlapanec State
learning_from_managing_rival_berber_groups	Managing Rival Berbers
defensive_and_offensive_times	Offense and Defense
resist_outside_influences	Resisting Outside Influences
marinid_hafsid_and_crusade_enemies	Three Principle Enemies
corsair_bases	Corsair Bases
promote_cultural_unity_of_tlemcen	Promote Cultural Unity
stopping_the_reliance_on_mercenaries	Relying on Ourselves
yor_patronize_telugu_literature	Patronize Telugu Literature
yor_telugu_warrior_aristocrats	Telugu Warrior Aristocrats
yor_kakatiya_legacy	Kakatiya Legacy
yor_great_forts_of_the_east	Great Forts of the East
yor_legend_of_prataparudra	Legend of Prataparudra
yor_diamond_mines_of_kollur	Diamond Mines of Kollur
yor_encourage_coromandel_trade	Encourage Coromandel Trade
flower_wars_versus_the_aztecs	Flower Wars
the_council_of_tlaxcala	The Council of Tlaxcala
the_confederation_of_tlaxcala	The Confederation of Tlaxcala
reunite_the_three_groups	Reunite the Three Groups
refine_the_elevation_process	Refine the Advancement Process
investigating_siege_tactics	Investigating Siege Tactics
holders_of_mesoamerica	Rulers of the Land
historical_trade_center	Historical Trade Center
center_for_muslim_scholars	Center for Muslim Scholars
the_three_madrasas_of_timbuktu	The Three Madrasas
commercial_endeavors_for_us	Commercial Endeavors
develop_the_gift_of_the_niger	Develop the Gift of the Niger
secure_the_trans_sahara_trade	The Sahara Trade Routes
tuareg_connections	Tuareg Connections
golden_age_of_zhongguo	The Golden Age of the Middle Kingdom
centuries_of_warfare	Centuries of Warfare
cultivate_the_3_departments_6_ministries	The Three Departments and Six Ministries
claiming_tribute_and_subjects	Claiming Tribute; Claiming Subjects
building_upon_old_military_structures	Building upon Military Tradition
dominating_trade_sectors	Dominating Trade Sectors
reclaim_the_lost_glory	Reclaim the Lost Glory
ties_to_vijayanagar	Ties to the Vijayanaga Empire
contention_with_the_madurai_nayaks	Contention with the Madurai
patronize_srirangam_temple_and_others	Patrons of the Srirangam Temple
promote_irrigation_projects	Promote Irrigation Projects
scholarly_work_in_multiple_languages	Scholarly Work in Many Languages
promote_an_educated_court	Promote an Educated Court
overcome_corruption_and_dissent	Overcome Corruption and Dissent
AOT_moa	Moa Birds
AOT_whaikorero	Whaikorero
AOT_chieftanship	Chieftanship
AOT_cultivation	Cultivation of Crops
AOT_keohara_tephra	Keohara Tephra
AOT_whakapapa	Whakapapa
AOT_fortified_pa	Portified Pa
TNT_prince_bishop	Prince-Bishop
TNT_republican_slaughter	Slaughter of the Republicans
TNT_south_tyrol_identity	South Tyrol Identity
TNT_italy_and_the_empire	Italy and the Empire
TNT_trent_brixen_confederacy	Trent-Brixen Confederacy
TNT_mountain_warfare	Mountain Warfare
TNT_trent_religious_unity	Trent Religious Unity
tonga_tangaloa	The Tangaloa Mythos
tonga_pulotu	Pulotu's Creation
tonga_maui	The Islands of Maui
tonga_polynesian	True Claimants to Polynesia
tonga_tongatapu	The Bells of Tongatapu
tonga_craftsman	Ancient Tongan Craftsmanship
tonga_oceanic_empire	The Oceanic Empire
against_the_pretenders	Against the Pretenders
near_the_heart_of_power	Near the Heart of Power
masters_of_the_tropics	Masters of the Tropics
peace_with_our_neighbors	Make Peace; Make Friends
